index,open,close,high,low,Return
2018-08-18,6545.98,6384.52,6620.0,6288.0,-2.4585054633454617
2018-08-19,6390.24,6475.83,6541.0,6300.0,1.4301779930206093
2018-08-20,6475.0,6292.37,6530.0,6220.0,-2.832995924846704
2018-08-21,6290.34,6487.01,6500.0,6235.08,3.093270103315615
2018-08-22,6487.01,6387.76,6882.54,6251.2,-1.5299806844755959
2018-08-23,6386.4,6508.81,6576.99,6325.0,1.8950304958232689
2018-08-24,6508.81,6687.0,6719.0,6440.5,2.7376740141439093
2018-08-25,6687.01,6756.61,6789.0,6650.61,1.0409750261701767
2018-08-26,6756.61,6690.0,6775.27,6568.0,-0.9858494126492423
2018-08-27,6689.99,6748.59,6768.28,6646.5,0.875784753363229
2018-08-28,6748.04,7105.39,7135.0,6744.77,5.287030327816633
2018-08-29,7105.38,7035.03,7133.81,6912.34,-0.9902341743380783
2018-08-30,7035.07,6941.0,7063.63,6784.81,-1.336597001007811
2018-08-31,6947.04,7042.86,7089.0,6888.0,1.4675118858954006
2018-09-01,7042.85,7193.99,7275.0,6996.0,2.145861198433585
2018-09-02,7193.99,7285.7,7345.45,7127.0,1.274814115671563
2018-09-03,7285.71,7249.99,7338.28,7191.63,-0.490138215957292
2018-09-04,7249.99,7348.16,7410.0,7227.17,1.3540708332011597
2018-09-05,7348.14,6892.53,7397.3,6851.0,-6.2005998780647165
2018-09-06,6892.53,6491.68,6899.59,6265.0,-5.815716435039087
2018-09-07,6491.71,6415.98,6544.0,6320.0,-1.1661080028590565
